fdc_id,data_type,description,food_category_id,publication_date
320093,sub_sample_food,"MILK, 2% ",1,01/04/2019
320094,sub_sample_food,"MILK, 2% ",1,01/04/2019
320095,sub_sample_food,"MILK, 2% ",1,01/04/2019
320096,sub_sample_food,"MILK, 2% ",1,01/04/2019
320097,sub_sample_food,"Milk, 2%",1,01/04/2019
320098,sub_sample_food,"Milk, 2%",1,01/04/2019
320099,sub_sample_food,"Milk, 2%",1,01/04/2019
320100,sub_sample_food,"Milk, 2%",1,01/04/2019
320101,sub_sample_food,"Milk, 2%",1,01/04/2019
320102,sub_sample_food,"MILK, 2% (WAVE 22E)",1,01/04/2019
320103,sub_sample_food,"MILK, 2% (WAVE 22E)",1,01/04/2019
320104,sample_food,"MILK, 2% (WAVE 22E)",1,01/04/2019
320105,market_acquisition,"MILK, 2% (WAVE 22E)",1,01/04/2019
320106,sub_sample_food,"MILK, 2% ",1,01/04/2019
320107,sub_sample_food,"MILK, 2% ",1,01/04/2019
320108,sub_sample_food,"MILK, 2% ",1,01/04/2019
320109,sub_sample_food,"MILK, 2% ",1,01/04/2019
320110,sub_sample_food,"MILK, 2% ",1,01/04/2019
320111,sub_sample_food,"MILK, 2% ",1,01/04/2019
320112,sub_sample_food,"MILK, 2% ",1,01/04/2019
320113,sub_sample_food,"MILK, 2% ",1,01/04/2019
320114,sub_sample_food,"MILK, 2% ",1,01/04/2019
320115,sub_sample_food,"MILK, 2% ",1,01/04/2019
320116,sub_sample_food,"Milk, 2%",1,01/04/2019
320117,sub_sample_food,"Milk, 2%",1,01/04/2019
320118,sub_sample_food,"Milk, 2%",1,01/04/2019
320119,sub_sample_food,"Milk, 2%",1,01/04/2019
320120,sub_sample_food,"Milk, 2%",1,01/04/2019
320121,sub_sample_food,"Milk, 2%",1,01/04/2019
320122,sub_sample_food,"MILK, 2% (WAVE 22E)",1,01/04/2019
320123,sub_sample_food,"MILK, 2% (WAVE 22E)",1,01/04/2019
320124,sample_food,"MILK, 2% (WAVE 22E)",1,01/04/2019
320125,market_acquisition,"MILK, 2% (WAVE 22E)",1,01/04/2019
320126,sub_sample_food,"MILK, 2% ",1,01/04/2019
320127,sub_sample_food,"MILK, 2% ",1,01/04/2019
320128,sub_sample_food,"MILK, 2% ",1,01/04/2019
320129,sub_sample_food,"MILK, 2% ",1,01/04/2019
320130,sub_sample_food,"MILK, 2% ",1,01/04/2019
320131,sub_sample_food,"MILK, 2% ",1,01/04/2019
320132,sub_sample_food,"MILK, 2% ",1,01/04/2019
320133,sub_sample_food,"MILK, 2% ",1,01/04/2019
320134,sub_sample_food,"MILK, 2% ",1,01/04/2019
320135,sub_sample_food,"MILK, 2% ",1,01/04/2019
320136,sub_sample_food,"Milk, 2%",1,01/04/2019
320137,sub_sample_food,"Milk, 2%",1,01/04/2019
320138,sub_sample_food,"Milk, 2%",1,01/04/2019
320139,sub_sample_food,"Milk, 2%",1,01/04/2019
320140,sub_sample_food,"Milk, 2%",1,01/04/2019
320141,sub_sample_food,"MILK, 2% (WAVE 22E)",1,01/04/2019
320142,sub_sample_food,"MILK, 2% (WAVE 22E)",1,01/04/2019
320143,sample_food,"MILK, 2% (WAVE 22E)",1,01/04/2019
320144,market_acquisition,"MILK, 2% (WAVE 22E)",1,01/04/2019
320145,sub_sample_food,"MILK, 2% ",1,01/04/2019
320146,sub_sample_food,"MILK, 2% ",1,01/04/2019
320147,sub_sample_food,"MILK, 2% ",1,01/04/2019
320148,sub_sample_food,"MILK, 2% ",1,01/04/2019
320149,sub_sample_food,"MILK, 2% ",1,01/04/2019
320150,sub_sample_food,"MILK, 2% ",1,01/04/2019
320151,sub_sample_food,"MILK, 2% ",1,01/04/2019
320152,sub_sample_food,"MILK, 2% ",1,01/04/2019
320153,sub_sample_food,"MILK, 2% ",1,01/04/2019
320154,sub_sample_food,"MILK, 2% ",1,01/04/2019
320155,sub_sample_food,"MILK, 2% ",1,01/04/2019
320156,sub_sample_food,"MILK, 2% ",1,01/04/2019
320157,sub_sample_food,"MILK, 2% ",1,01/04/2019
320158,sub_sample_food,"Milk, 2%",1,01/04/2019
320159,sub_sample_food,"Milk, 2%",1,01/04/2019
320160,sub_sample_food,"Milk, 2%",1,01/04/2019
320161,sub_sample_food,"Milk, 2%",1,01/04/2019
320162,sub_sample_food,"Milk, 2%",1,01/04/2019
320163,sub_sample_food,"MILK, 2% (WAVE 22E)",1,01/04/2019
320164,sub_sample_food,"MILK, 2% (WAVE 22E)",1,01/04/2019
320165,sample_food,"MILK, 2% (WAVE 22E)",1,01/04/2019
320166,market_acquisition,"MILK, 2% (WAVE 22E)",1,01/04/2019
320167,sub_sample_food,"MILK, 2% ",1,01/04/2019
320168,sub_sample_food,"MILK, 2% ",1,01/04/2019
320169,sub_sample_food,"MILK, 2% ",1,01/04/2019
320170,sub_sample_food,"MILK, 2% ",1,01/04/2019
320171,sub_sample_food,"MILK, 2% (WAVE 22E)",1,01/04/2019
320172,sample_food,"MILK, 2% (WAVE 22E)",1,01/04/2019
320173,market_acquisition,"MILK, 2% (WAVE 22E)",1,01/04/2019
320174,sub_sample_food,"MILK, 2% ",1,01/04/2019
320175,sub_sample_food,"MILK, 2% ",1,01/04/2019
320176,sub_sample_food,"MILK, 2% ",1,01/04/2019
320177,sub_sample_food,"MILK, 2% (WAVE 22E)",1,01/04/2019
320178,sub_sample_food,"MILK, 2% (WAVE 22E)",1,01/04/2019
320179,sample_food,"MILK, 2% (WAVE 22E)",1,01/04/2019
320180,market_acquisition,"MILK, 2% (WAVE 22E)",1,01/04/2019
320181,sub_sample_food,"MILK, 2% ",1,01/04/2019
320182,sub_sample_food,"MILK, 2% ",1,01/04/2019
320183,sub_sample_food,"MILK, 2% ",1,01/04/2019
320184,sub_sample_food,"MILK, 2% (WAVE 22E)",1,01/04/2019
320185,sample_food,"MILK, 2% (WAVE 22E)",1,01/04/2019
320186,market_acquisition,"MILK, 2% (WAVE 22E)",1,01/04/2019
320187,sub_sample_food,"MILK, 2% ",1,01/04/2019
320188,sub_sample_food,"MILK, 2% ",1,01/04/2019
320189,sub_sample_food,"MILK, 2% ",1,01/04/2019
320190,sub_sample_food,"MILK, 2% (WAVE 22E)",1,01/04/2019
320191,sample_food,"MILK, 2% (WAVE 22E)",1,01/04/2019
320192,market_acquisition,"MILK, 2% (WAVE 22E)",1,01/04/2019
320193,sub_sample_food,"MILK, 2% ",1,01/04/2019
320194,sub_sample_food,"MILK, 2% ",1,01/04/2019
320195,sub_sample_food,"MILK, 2% ",1,01/04/2019
320196,sub_sample_food,"MILK, 2% (WAVE 22E)",1,01/04/2019
320197,sample_food,"MILK, 2% (WAVE 22E)",1,01/04/2019
320198,market_acquisition,"MILK, 2% (WAVE 22E)",1,01/04/2019
320199,sub_sample_food,"MILK, 2% ",1,01/04/2019
320200,sub_sample_food,"MILK, 2% ",1,01/04/2019
320201,sub_sample_food,"MILK, 2% ",1,01/04/2019
320202,sub_sample_food,"MILK, 2% (WAVE 22E)",1,01/04/2019
320203,sample_food,"MILK, 2% (WAVE 22E)",1,01/04/2019
320204,market_acquisition,"MILK, 2% (WAVE 22E)",1,01/04/2019
320205,sub_sample_food,"MILK, 2% ",1,01/04/2019
320206,sub_sample_food,"MILK, 2% ",1,01/04/2019
320207,sub_sample_food,"MILK, 2% ",1,01/04/2019
320208,sub_sample_food,"MILK, 2% (WAVE 22E)",1,01/04/2019
320209,sub_sample_food,"MILK, 2% (WAVE 22E)",1,01/04/2019
320210,sample_food,"MILK, 2% (WAVE 22E)",1,01/04/2019
320211,market_acquisition,"MILK, 2% (WAVE 22E)",1,01/04/2019
320212,sub_sample_food,"MILK, 2% ",1,01/04/2019
320213,sub_sample_food,"MILK, 2% ",1,01/04/2019
320214,sub_sample_food,"MILK, 2% ",1,01/04/2019
320215,sub_sample_food,"MILK, 2% ",1,01/04/2019
320216,sub_sample_food,"MILK, 2% ",1,01/04/2019
320217,sub_sample_food,"MILK, 2% ",1,01/04/2019
320218,sub_sample_food,"MILK, 2% ",1,01/04/2019
320219,sub_sample_food,"MILK, 2% ",1,01/04/2019
320220,sub_sample_food,"MILK, 2% ",1,01/04/2019
320221,sub_sample_food,"MILK, 2% ",1,01/04/2019
320222,sub_sample_food,"Milk, 2%",1,01/04/2019
320223,sub_sample_food,"Milk, 2%",1,01/04/2019
320224,sub_sample_food,"Milk, 2%",1,01/04/2019
320225,sub_sample_food,"Milk, 2%",1,01/04/2019
320226,sub_sample_food,"Milk, 2%",1,01/04/2019
320227,sub_sample_food,"Milk, 2%",1,01/04/2019
320228,sub_sample_food,"MILK, 2% (WAVE 22E)",1,01/04/2019
320229,sub_sample_food,"MILK, 2% (WAVE 22E)",1,01/04/2019
320230,sample_food,"MILK, 2% (WAVE 22E)",1,01/04/2019
320231,market_acquisition,"MILK, 2% (WAVE 22E)",1,01/04/2019
320232,sub_sample_food,"MILK, 2% ",1,01/04/2019
320233,sub_sample_food,"MILK, 2% ",1,01/04/2019
320234,sub_sample_food,"MILK, 2% ",1,01/04/2019
320235,sub_sample_food,"MILK, 2% ",1,01/04/2019
320236,sub_sample_food,"MILK, 2% ",1,01/04/2019
320237,sub_sample_food,"MILK, 2% ",1,01/04/2019
320238,sub_sample_food,"MILK, 2% ",1,01/04/2019
320239,sub_sample_food,"MILK, 2% ",1,01/04/2019
320240,sub_sample_food,"MILK, 2% ",1,01/04/2019
320241,sub_sample_food,"MILK, 2% ",1,01/04/2019
320242,sub_sample_food,"MILK, 2% ",1,01/04/2019
320243,sub_sample_food,"MILK, 2% ",1,01/04/2019
320244,sub_sample_food,"MILK, 2% ",1,01/04/2019
320245,sub_sample_food,"Milk, 2%",1,01/04/2019
320246,sub_sample_food,"Milk, 2%",1,01/04/2019
320247,sub_sample_food,"Milk, 2%",1,01/04/2019
320248,sub_sample_food,"Milk, 2%",1,01/04/2019
320249,sub_sample_food,"Milk, 2%",1,01/04/2019
320250,sub_sample_food,"Milk, 2%",1,01/04/2019
320251,sub_sample_food,"MILK, 2% (WAVE 22E)",1,01/04/2019
320252,sub_sample_food,"MILK, 2% (WAVE 22E)",1,01/04/2019
320253,sample_food,"MILK, 2% (WAVE 22E)",1,01/04/2019
320254,market_acquisition,"MILK, 2% (WAVE 22E)",1,01/04/2019
320255,sub_sample_food,"MILK, 2% ",1,01/04/2019
320256,sub_sample_food,"MILK, 2% ",1,01/04/2019
320257,sub_sample_food,"MILK, 2% ",1,01/04/2019
320258,sub_sample_food,"MILK, 2% ",1,01/04/2019
320259,sub_sample_food,"MILK, 2% ",1,01/04/2019
320260,sub_sample_food,"MILK, 2% ",1,01/04/2019
320261,sub_sample_food,"MILK, 2% ",1,01/04/2019
320262,sub_sample_food,"MILK, 2% ",1,01/04/2019
320263,sub_sample_food,"MILK, 2% ",1,01/04/2019
320264,sub_sample_food,"MILK, 2% ",1,01/04/2019
320265,sub_sample_food,"MILK, 2% ",1,01/04/2019
320266,sub_sample_food,"MILK, 2% ",1,01/04/2019
320267,sub_sample_food,"MILK, 2% ",1,01/04/2019
320268,sub_sample_food,"Milk, 2%",1,01/04/2019
320269,sub_sample_food,"Milk, 2%",1,01/04/2019
320270,sub_sample_food,"Milk, 2%",1,01/04/2019
320271,sub_sample_food,"Milk, 2%",1,01/04/2019
320272,sub_sample_food,"Milk, 2%",1,01/04/2019
320273,sub_sample_food,"MILK, 2% (WAVE 22E)",1,01/04/2019
320274,sub_sample_food,"MILK, 2% (WAVE 22E)",1,01/04/2019
320275,sample_food,"MILK, 2% (WAVE 22E)",1,01/04/2019
320276,market_acquisition,"MILK, 2% (WAVE 22E)",1,01/04/2019
320277,sub_sample_food,"MILK, 2% ",1,01/04/2019
320278,sub_sample_food,"MILK, 2% ",1,01/04/2019
320279,sub_sample_food,"MILK, 2% ",1,01/04/2019
320280,sub_sample_food,"MILK, 2% ",1,01/04/2019
320281,sub_sample_food,"MILK, 2% ",1,01/04/2019
320282,sub_sample_food,"MILK, 2% ",1,01/04/2019
320283,sub_sample_food,"MILK, 2% ",1,01/04/2019
320284,sub_sample_food,"MILK, 2% ",1,01/04/2019
320285,sub_sample_food,"MILK, 2% ",1,01/04/2019
320286,sub_sample_food,"MILK, 2% ",1,01/04/2019
320287,sub_sample_food,"MILK, 2% ",1,01/04/2019
320288,sub_sample_food,"MILK, 2% ",1,01/04/2019
320289,sub_sample_food,"MILK, 2% ",1,01/04/2019
320290,sub_sample_food,"Milk, 2%",1,01/04/2019
320291,sub_sample_food,"Milk, 2%",1,01/04/2019
320292,sub_sample_food,"Milk, 2%",1,01/04/2019
320293,sub_sample_food,"Milk, 2%",1,01/04/2019
320294,sub_sample_food,"Milk, 2%",1,01/04/2019
320295,sub_sample_food,"Milk, 2%",1,01/04/2019
320296,sub_sample_food,"MILK, 2% (WAVE 22E)",1,01/04/2019
320297,sub_sample_food,"MILK, 2% (WAVE 22E)",1,01/04/2019
320298,sample_food,"MILK, 2% (WAVE 22E)",1,01/04/2019
320299,market_acquisition,"MILK, 2% (WAVE 22E)",1,01/04/2019
320300,sub_sample_food,"MILK, 2% ",1,01/04/2019
320301,sub_sample_food,"MILK, 2% ",1,01/04/2019
320302,sub_sample_food,"MILK, 2% ",1,01/04/2019
320303,sub_sample_food,"MILK, 2% ",1,01/04/2019
320304,sub_sample_food,"MILK, 2% ",1,01/04/2019
320305,sub_sample_food,"MILK, 2% ",1,01/04/2019
320306,sub_sample_food,"MILK, 2% (WAVE 22E)",1,01/04/2019
320307,sample_food,"MILK, 2% (WAVE 22E)",1,01/04/2019
320308,market_acquisition,"MILK, 2% (WAVE 22E)",1,01/04/2019
320309,sub_sample_food,"MILK, 2% ",1,01/04/2019
320310,sub_sample_food,"MILK, 2% ",1,01/04/2019
320311,sub_sample_food,"MILK, 2% ",1,01/04/2019
320312,sub_sample_food,"MILK, 2% (WAVE 22E)",1,01/04/2019
